presentationTopic,presentationTopicId,presentationCount,researchTopic,researchTopicId,mappingType,mappingReason,evidenceSource,safeForArchiveFilter,safeForResearchContext,humanReviewNeeded,notes
"Koulutusteknologia","koulutusteknologia","96","Mobiilioppiminen ja yhteisöllinen tiedonrakentelu","long-term-learning","ALIAS","Explicit keyword and visible topic-profile title already used for the long-term learning preset's cross-scope topic profile.","src/_data/seoTopics.js: koulutusteknologia-ja-oppimisymparistot title + keywords","true","true","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/3-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-tietokoneavusteinen-yhteisllinen-oppiminen-cscl/9167433|3. luento tieto- ja viestintätekniikan pedagogiset perusteet: tietokoneavusteinen yhteisöllinen oppiminen (CSCL);slideshare|https://www.slideshare.net/slideshow/teknologiatuettu-oppiminen-ja-opetus-4op-johdantoluento-digitalisaatio/79479675|Teknologiatuettu oppiminen ja opetus 4op - johdantoluento + digitalisaatio;slideshare|https://www.slideshare.net/slideshow/luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-144-views-presentations63-luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-luento1-johdanto-410014y-tvt-pedagogiset-perusteet-using-gartners-hype-curve-as-a-bas/25871563|Luento 3. Suunnittelu ja pedagogiset mallit (410014Y) Tieto- ja viestintätekniikka pedagogisena välineenä"
"koulutusteknologia","koulutusteknologia","56","Mobiilioppiminen ja yhteisöllinen tiedonrakentelu","long-term-learning","ALIAS","Explicit keyword and visible topic-profile title already used for the long-term learning preset's cross-scope topic profile.","src/_data/seoTopics.js: koulutusteknologia-ja-oppimisymparistot title + keywords","true","true","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologiatuettu-oppiminen-ja-opetus-4op-johdantoluento-digitalisaatio/79479675|Teknologiatuettu oppiminen ja opetus 4op - johdantoluento + digitalisaatio;slideshare|https://www.slideshare.net/slideshow/410014y-luento-4-sopimukset-ja-tekijnoikeudet/38636228|410014Y Luento 4: Sopimukset ja tekijänoikeudet;slideshare|https://www.slideshare.net/slideshow/teknologian-kehitys-ja-mahdollisuudet-oppimisen-tukena/2217477|Teknologian Kehitys Ja Mahdollisuudet Oppimisen Tukena"
"Opettajankoulutus","opettajankoulutus","41","Opettajankoulutus ja pedagoginen muutos","teacher-education","EXACT","Matches the current teacher education preset and shared research theme label directly.","src/_data/seoTopics.js: opettajankoulutus; src/curated/research-program.json: teacher-education line","true","true","false","langs=en/fi | sources=canva/slideshare/youtube | samples=slideshare|https://www.slideshare.net/slideshow/3-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-tietokoneavusteinen-yhteisllinen-oppiminen-cscl/9167433|3. luento tieto- ja viestintätekniikan pedagogiset perusteet: tietokoneavusteinen yhteisöllinen oppiminen (CSCL);slideshare|https://www.slideshare.net/slideshow/luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-144-views-presentations63-luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-luento1-johdanto-410014y-tvt-pedagogiset-perusteet-using-gartners-hype-curve-as-a-bas/25871563|Luento 3. Suunnittelu ja pedagogiset mallit (410014Y) Tieto- ja viestintätekniikka pedagogisena välineenä;slideshare|https://www.slideshare.net/slideshow/410014y-luento-4-sopimukset-ja-tekijnoikeudet/38636228|410014Y Luento 4: Sopimukset ja tekijänoikeudet"
"Generation AI","generation ai","27","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","ALIAS","Explicit keyword already used in the AI literacy topic profile and current research page context.","src/_data/seoTopics.js: tekoalylukutaito keywords include generation-ai; src/fi/tutkimus.md: Generation AI current focus","true","true","false","langs=en/fi | sources=canva | samples=/presentations/generation-ai-yleisesitys-sovellukset-2026/;DAHI6X6dR_g;sDBhfb4DZw_hcEG"
"TVT","tvt","27","Mobiilioppiminen ja yhteisöllinen tiedonrakentelu","long-term-learning","BROADER-NO","Historical umbrella term is broader than the current curated research preset set.","src/fi/tutkimus.md; src/_data/seoTopics.js","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/3-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-tietokoneavusteinen-yhteisllinen-oppiminen-cscl/9167433|3. luento tieto- ja viestintätekniikan pedagogiset perusteet: tietokoneavusteinen yhteisöllinen oppiminen (CSCL);slideshare|https://www.slideshare.net/slideshow/luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-144-views-presentations63-luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-luento1-johdanto-410014y-tvt-pedagogiset-perusteet-using-gartners-hype-curve-as-a-bas/25871563|Luento 3. Suunnittelu ja pedagogiset mallit (410014Y) Tieto- ja viestintätekniikka pedagogisena välineenä;slideshare|https://www.slideshare.net/slideshow/410014y-luento-4-sopimukset-ja-tekijnoikeudet/38636228|410014Y Luento 4: Sopimukset ja tekijänoikeudet"
"tekoälylukutaito","tekoalylukutaito","25","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","EXACT","Matches the current AI literacy preset topic profile and the shared research theme label.","src/_data/seoTopics.js: tekoalylukutaito; src/curated/research-program.json: themes [tekoalylukutaito, selitettava-tekoaly, koneoppiminen]","true","true","false","langs=en/fi | sources=canva | samples=sDBhfb4DZw_hcEG;Qj3UMnjU3RwRv7P;aTM5lGaNw5NYCtj"
"sosiaalinen media","sosiaalinen media","16","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/professional-use-of-social-media-web20/34945863|Professional use of social media (web2.0);slideshare|https://www.slideshare.net/slideshow/technology-choices-tel1/17178124|Technology choices (TEL1);slideshare|https://www.slideshare.net/slideshow/sosiaalinen-media-ja-sen-sovellutukset-koulutusteknologin-nkkulma-medialasien-lpi-katsottuna/1386778|Sosiaalinen media ja sen sovellutukset - koulutusteknologin näkökulma medialasien läpi katsottuna"
"generatiivinen tekoäly","generatiivinen tekoaly","15","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","RELATED-NOT-EQUIVALENT","Important adjacent AI topic, but current research presets do not define generative AI itself as a canonical topic.","src/fi/tutkimus.md; src/_data/seoTopics.js","true","false","false","langs=en/fi | sources=canva | samples=sdrdv3W33qRpdA8;jT1t-KBLsuVoxiG;qxV96znMIpZ5Q2a"
"tekoäly","tekoaly","15","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","BROADER-NO","Broader than the current AI literacy preset; the preset is explicitly about literacy and education, not every AI mention.","src/fi/tutkimus.md: tekoälylukutaito current line; src/_data/seoTopics.js: tekoalylukutaito profile","true","false","false","langs=en/fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/kuullun-ja-nahdyn-kommentontia-tarua-vai-totta-tekoly-lohkoketjuja-sek-yritysyhteistyt-seminaari/87972554|Kuullun ja nähdyn kommentontia: tarua vai totta (tekoälyä, lohkoketjuja sekä yritysyhteistyötä -seminaari);slideshare|https://www.slideshare.net/slideshow/davidin-ja-goljatin-taistelu-kesyttk-opettajateknologian-vai-jyrk-teknologia-opettajan-teknologiatuetun-oppimisen-ja-opettamisen-nykyhetken-ja-tulevaisuuden-tarkastelua-eri-nkkulmista/140995534|”Davidin ja Goljatin taistelu: kesyttääkö opettaja teknologian vai jyrääkö teknologia opettajan? Teknologiatuetun oppimisen ja opettamisen nykyhetken ja tulevaisuuden tarkastelua eri näkökulmista;slideshare|https://www.slideshare.net/slideshow/digitaalinen-tulevaisuus-2030-kuinka-tukily-tukee-ihmisten-arkea-oppimista-ja-tyt-jo-lhitulevaisuudessa/146730753|Digitaalinen tulevaisuus 2030 – kuinka ”tukiäly” tukee ihmisten arkea, oppimista ja työtä jo lähitulevaisuudessa."
"opettajankoulutus","opettajankoulutus","14","Opettajankoulutus ja pedagoginen muutos","teacher-education","EXACT","Matches the current teacher education preset and shared research theme label directly.","src/_data/seoTopics.js: opettajankoulutus; src/curated/research-program.json: teacher-education line","true","true","false","langs=en/fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/edtech-info-english07/183740|Edtech Info English07;slideshare|https://www.slideshare.net/slideshow/scaffolding-collaborative-learning-with-cognitive-tools-based-on-mobile-computers-10188888/10188888|Scaffolding collaborative learning with cognitive tools based on mobile computers (2011);/presentations/luento-4-ohjelmointiosaaminen/"
