material_source,material_title,material_date,material_url,material_reference,linked_course_id,linked_course_name,course_evidence_level,link_type,matched_term,evidence_summary,course_source_reference_ids
slideshare,Yhteiskunnallisia haasteita & johdanto aiheeseen 050091A Tieto- ja viestintätekniikka opetuksessa ja opiskelussa,2013-05-06,https://www.slideshare.net/slideshow/yhteiskunnallisia-haasteita-johdanto-aiheeseen050091a-tieto-ja-viestinttekniikka-opetuksessa-ja-opiskelussa/20643075,src/presentations/ss-yhteiskunnallisia-haasteita-johdanto-aiheeseen-050091a-tieto-ja-viestintatekniik.md,050091A,Tieto- ja viestintätekniikka opetuksessa ja opiskelussa,strong,explicit_course_code,"050091A; Tieto- ja viestintätekniikka opetuksessa ja opiskelussa; yhteiskunnallisia haasteita; tieto ja viestintätekniikka opetuksessa ja opiskelussa","Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 050091A. Lisätunnisteet: Tieto- ja viestintätekniikka opetuksessa ja opiskelussa; yhteiskunnallisia haasteita; tieto ja viestintätekniikka opetuksessa ja opiskelussa.","turn7search87; turn18search163"
slideshare,Luento1. Johdanto (410014Y TVT pedagogiset perusteet),2013-08-27,https://www.slideshare.net/slideshow/luento1-johdanto-410014y-tvt-pedagogiset-perusteet/25638735,src/presentations/ss-luento1-johdanto-410014y-tvt-pedagogiset-perusteet.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_code,"410014Y; tvt pedagogiset perusteet",Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410014Y. Lisätunnisteet: tvt pedagogiset perusteet.,"turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Luento 2. Teoria (410014Y) Tieto- ja viestintätekniikka pedagogisena välineenä,2013-08-29,https://www.slideshare.net/slideshow/luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen/25706607,src/presentations/ss-luento-2-teoria-410014y-tieto-ja-viestintatekniikka-pedagogisena-valineena.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_code,410014Y,Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410014Y.,"turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Luento 3. Suunnittelu ja pedagogiset mallit (410014Y) Tieto- ja viestintätekniikka pedagogisena välineenä,2013-09-04,https://www.slideshare.net/slideshow/luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-144-views-presentations63-luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-luento1-johdanto-410014y-tvt-pedagogiset-perusteet-using-gartners-hype-curve-as-a-bas/25871563,src/presentations/ss-luento-3-suunnittelu-ja-pedagogiset-mallit-410014y-tieto-ja-viestintatekniikka-p.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_code,"410014Y; tvt pedagogiset perusteet",Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410014Y. Lisätunnisteet: tvt pedagogiset perusteet.,"turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Luento 5: haasteet ja koulun todellisuus (410014Y),2013-09-10,https://www.slideshare.net/slideshow/luento-5-haasteet-ja-koulun-todellisuus-410014y/26060987,src/presentations/ss-luento-5-haasteet-ja-koulun-todellisuus-410014y.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_code,"410014Y; haasteet ja koulun todellisuus",Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410014Y. Lisätunnisteet: haasteet ja koulun todellisuus.,"turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,410014Y Johdantoluento. Tieto- ja viestintätekniikka pedagogisena työvälineenä 2014,2014-08-29,https://www.slideshare.net/slideshow/410014y-johdantoluento-tieto-ja-viestinttekniikka-pedagogisena-tyvlineen-2014/38480588,src/presentations/ss-410014y-johdantoluento-tieto-ja-viestintatekniikka-pedagogisena-tyovalineena-201.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_code,"410014Y; Tieto- ja viestintätekniikka pedagogisena työvälineenä",Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410014Y. Lisätunnisteet: Tieto- ja viestintätekniikka pedagogisena työvälineenä.,"turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,410014Y LUENTO 2: Tämän vuosisadan ydintaidot – 21th skills (ja koulun muutospaineet),2014-08-29,https://www.slideshare.net/slideshow/410014y-luento-2-tmn-vuosisadan-ydintaidot-21th-skills-ja-koulun-muutospaineet/38481523,src/presentations/ss-410014y-luento-2-taman-vuosisadan-ydintaidot-21th-skills-ja-koulun-muutospaineet.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_code,410014Y,Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410014Y.,"turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,410014Y Luento 4: Sopimukset ja tekijänoikeudet,2014-09-03,https://www.slideshare.net/slideshow/410014y-luento-4-sopimukset-ja-tekijnoikeudet/38636228,src/presentations/ss-410014y-luento-4-sopimukset-ja-tekijanoikeudet.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_code,"410014Y; sopimukset ja tekijänoikeudet",Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410014Y. Lisätunnisteet: sopimukset ja tekijänoikeudet.,"turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Luentodiat digitaalinen media oppimisessa ja opettamisessa (410017Y) 2015,2015-01-30,https://www.slideshare.net/slideshow/luentodiat-digitaalinen-media-oppimisessa-ja-opettamisessa-410017y-2015/44064982,src/presentations/ss-luentodiat-digitaalinen-media-oppimisessa-ja-opettamisessa-410017y-2015.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,explicit_course_code,"410017Y; Digitaalinen media oppimisessa ja opettamisessa; digitaalinen media oppimisessa ja opettamisessa","Materiaalin metadatassa tai sisällössä esiintyy kurssikoodi 410017Y. Lisätunnisteet: Digitaalinen media oppimisessa ja opettamisessa; digitaalinen media oppimisessa ja opettamisessa.","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,Tietotyon pedagogisia haasteita,2011-01-14,https://www.slideshare.net/slideshow/tietotyon-p-haasteita/6568725,src/presentations/ss-tietotyon-pedagogisia-haasteita.md,405021Y,Tietotyö pedagogisena haasteena / Tietotyön pedagogisia haasteita,strong,explicit_course_name,"Tietotyön pedagogisia haasteita; tietotyon pedagogisia haasteita","Materiaalin otsikossa, kuvauksessa tai tekstissä esiintyy kurssinimi tai nimivariantti: Tietotyön pedagogisia haasteita. Lisätunnisteet: tietotyon pedagogisia haasteita.","turn7search87; turn18search180; turn22search200; turn23search218"
