material_source,material_title,material_date,material_url,material_reference,link_type,matched_terms,evidence_summary
canva,AI Friend or Foe? – Tekoäly: ystävä vai vihollinen?,2026-05-07,https://www.canva.com/design/DAHI6X6dR_g/_Jy-hfDeDZU5UA6DVkWjrQ/view,src/_data/canva-presentations.json#1,possible_teaching_material_no_confirmed_course,ai literacy,"Aihe liittyy opetukseen (ai literacy), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Sivistysverkosto 4.5.,2026-05-04,https://canva.link/vqtdccorb3yxb9h,src/_data/canva-presentations.json#2,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; koulutus","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, koulutus), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,ITK2026 millaisia ovat tekoälyaikakauden opettajaprofiilit,2026-04-23,https://canva.link/0esdy3ncxld18eo,src/_data/canva-presentations.json#3,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,ITK Keynote 2026,2026-04-21,https://canva.link/3jrd9fl161kwo7z,src/_data/canva-presentations.json#4,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,OPH esitys 18.3.,2026-03-17,https://canva.link/epspgvg60zgkj4s,src/_data/canva-presentations.json#6,possible_teaching_material_no_confirmed_course,"opetus; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (opetus, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,"Riko, rakenna ja ymmärrä – Kohti kriittistä tekoälylukutaitoa",2026-02-16,https://www.canva.com/d/Qj3UMnjU3RwRv7P,src/_data/canva-presentations.json#31,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Ihmeitä tekevä tekoäly vai tavallinen työkalu? – VESO 2026,2026-01-22,https://www.canva.com/d/aTM5lGaNw5NYCtj,src/_data/canva-presentations.json#32,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,VESO 2026 – Tekoäly opetuksessa,2026-01-21,https://www.canva.com/d/DCBR_muSwblqYUG,src/_data/canva-presentations.json#33,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; koulutus","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, koulutus), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,"Konenäkö, vibe coding ja robotiikka – Robokampus 2026",2026-01-20,https://www.canva.com/d/9vbIlfCJtVMnz0L,src/_data/canva-presentations.json#34,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoälyagentit,2025-11-18,https://www.canva.com/d/EAMOOLnvrmnE_0g,src/_data/canva-presentations.json#35,possible_teaching_material_no_confirmed_course,koulutus,"Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (koulutus), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoäly opettajan työkaluna,2025-11-17,https://www.canva.com/d/NwJZ8FVrbTIF80L,src/_data/canva-presentations.json#36,possible_teaching_material_no_confirmed_course,tekoäly opettajan työkaluna,"Aihe liittyy opetukseen (tekoäly opettajan työkaluna), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Opettaja tekoälyn ja -älyttömyyden turbulenssissa,2025-10-30,https://www.canva.com/d/A3EfkY3y1avAegc,src/_data/canva-presentations.json#37,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Digipedailtapäivä – Tekoäly opetuksessa,2025-10-29,https://www.canva.com/d/fMchhKOJuh9LPSe,src/_data/canva-presentations.json#38,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Kuinka tekoäly toimii? – Webinaari,2025-10-21,https://www.canva.com/d/7IyyLkfG4NvVNFy,src/_data/canva-presentations.json#39,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; webinaari","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, webinaari), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoälylukutaitoinen digiosaaja – Millaisia taitoja opettajalla tulisi olla?,2025-10-07,https://www.canva.com/d/RIjexbw0vJhknqR,src/_data/canva-presentations.json#40,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoäly: opettajan ystävä vai vihollinen? Matkalla kohti tekoälylukutaitoa,2025-09-30,https://www.canva.com/d/HkRvziyrg2IqL5S,src/_data/canva-presentations.json#41,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoäly yhdistystoiminnassa,2025-09-10,https://www.canva.com/d/IMm6-JD8PRTBK2F,src/_data/canva-presentations.json#42,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Teachable Machine and Somekone – Demo Session EARLI 2025,2025-08-24,https://canva.link/d6kheuhj8xk6m3h,src/_data/canva-presentations.json#11,possible_teaching_material_no_confirmed_course,ai literacy,"Aihe liittyy opetukseen (ai literacy), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,"AI, Friend or Foe? (EN)",2025-08-18,https://www.canva.com/d/Cms-4m8mJZ9yK4e,src/_data/canva-presentations.json#43,possible_teaching_material_no_confirmed_course,ai literacy,"Aihe liittyy opetukseen (ai literacy), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,"Tekoäly, ystävä vai vihollinen? (FIN)",2025-08-18,https://www.canva.com/d/sdrdv3W33qRpdA8,src/_data/canva-presentations.json#44,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
