presentation_title_or_file,year_or_date,linked_course_id,linked_course_name,link_type,evidence_summary,source_reference_ids
intro-110831170815-phpapp02.ppt,2011,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,"Slide states course name, 3 op, year 2011, Jari Laru as teacher, and lists SlideShare lecture links under this course.",turn23search228
tvt1luentohistoria-110831172503-phpapp01.ppt,2011,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,"Slide text states 'Tieto- ja viestintätekniikka pedagogisena työvälineenä, 3 op 2011' and Jari Laru.",turn19search200
ktktvtluento2yhteiskunta-120904013709-phpapp01.ppt,2012/2013 file context,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,Slide text states 'TVT ja yhteiskunta 410014Y Tieto- ja viestintätekniikka pedagogisena työvälineenä'.,turn23search222
Luento3_periodi_B.pptx,2012,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,Slide text states '410014Y Tieto- ja viestintätekniikka pedagogisena työvälineenä'.,turn23search219
luento5haasteet-130910084845-phpapp02.pptx,2013,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,Title states 'Luento 5: Haasteet ja arkirealismi 410014Y Tieto- ja viestintätekniikka pedagogisena työvälineenä'.,turn23search220
TVTLuento2_2014.pptx,2014,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,Slide text states '410014Y Tieto- ja viestintätekniikka pedagogisena työvälineenä 2014'.,turn23search221
Luento5_suunnittelu.pptx,2014,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,Slide text states '410014Y Tieto- ja viestintätekniikka pedagogisena työvälineenä LUENTO 5 Suunnittelu ja pedagogiset mallit (2014)'.,turn23search223
luento1_johdanto.pptx,2013,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,explicit_course_link,Slide text states '410014Y Tieto- ja viestintätekniikka pedagogisena työvälineenä Luento1: Johdanto'. It also lists related course/pathway items.,turn23search218
Tieto –ja viestintätekniikka opettajankoulutuksessa + infrastruktuurin päivittäminen.pptx,2012,,TVT-opettajankoulutuksen tarjontakalvo,course_offering_context,"Slide lists offering: Tieto- ja viestintätekniikka pedagogisena työvälineenä, Multimedia oppimisprojektina, and Tietotyö pedagogisena haasteena.","turn22search200; turn22search208"
Luento 2. Ilmiön teoreettista taustaa.pptx,22.4.2009,,,possible_teaching_material_no_confirmed_course,"Slide text states LET unit, Jari Laru, 22.4.2009; topics include CSCL, collaborative learning and self-regulated learning. Exact course is not named in the source gathered so far.",turn22search211
